variable,variable_short,variable_name,description,table,data_type,statistical_type,allowed_range,allowed_values,normal_range,normal_values,units,category,mapping,worse_direction,variable_level,info,NSCLC,PCa
taking_gen_2_antipsychotics,taking_gen_2_antipsy,Taking Second (2nd) Generation Antipsychotics ,"Whether the participant has taken treatments in the oral atypical antipsychotics or second (2nd) generation antipsychotics medication class. Typically a treatment for major depressive disorder or schizophrenia. Medications include Abilify, Aripiprazole, Saphris, Asenapine, Rexulti, Brexpiprazole, Vraylar, Cariprazine, Clozaril, Versacloz, Clozapine, Fanapt, Iloperidone, Latuda, Lurasidone, Zyprexa, Olanzapine, Invega, Paliperidone, Seroquel, Quetiapine, Risperdal, Risperidone, Geodon, Ziprasidone, Symbyax, Olanzapine/fluoxetine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_azapirone,taking_azapirone,Taking Azapirone,"Whether the participant has taken treatments in the azaprione medication class. Typically a treatment for major depressive disorder. Medications include Buspar, Buspirone, Exxua, Gepirone","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_teca,taking_teca,Taking Tetracyclic Antidepressants (TeCA),"Whether the participant has taken treatments in the Tetracyclic Antidepressants (TeCA) medication class. Typically a treatment for major depressive disorder. Medications include Remeron, Remeron Soltab, Mirtazapine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_sari,taking_sari,Taking Serotonin Receptor Antagonists and Reuptake inhibitors (SARI),"Whether the participant has taken treatments in the Serotonin Receptor Antagonists and Reuptake inhibitors (SARI) medication class. Typically a treatment for major depressive disorder. Medications include Desyrel, Oleptro, Trazodone, Serzone, Nefazodone","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_spara,taking_spara,Taking Serotonin Reuptake Inhibitors and Partial Serotonin Receptor Agonists (SPARA),"Whether the participant has taken treatments in the Serotonin Reuptake Inhibitors and Partial Serotonin Receptor Agonists (SPARA) medication class. Typically a treatment for major depressive disorder. Medications include Viibryd, Vilazodone","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_sms,taking_sms,Taking Serotonin Modulators and Stimulators (SMS),"Whether the participant has taken treatments in the Serotonin Modulators and Stimulators (SMS) medication class. Typically a treatment for major depressive disorder. Medications include Trintellix, Vortioxetine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_nmda_antagonist,taking_nmda_antagonist,Taking NMDA Receptor Antagonist,"Whether the participant has taken treatments in the NMDA Receptor Antagonist medication class. Typically a treatment for major depressive disorder. Medications include Spravato, Esketamine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_maoi,taking_maoi,Taking Monoamine Oxidase Inhibitors (MAOI),"Whether the participant has taken treatments in the Monoamine Oxidase Inhibitors (MAOI) medication class. Typically a treatment for major depressive disorder. Medications include Emsam, Eldepryl, Zelapar, Selegiline, Parnate, Tranylcypromine, Marplan, Isocarboxazid, Nardil, Phenelzine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_antitussive_ndri,taking_antitussive_ndri,Taking Antitussive and NDRI Combo,"Whether the participant has taken treatments in the Antitussive and NDRI Combo medication class. Typically a treatment for major depressive disorder. Medications include Auvelity, Dextromethorphan-bupropion","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_antimanic,taking_antimanic,Taking Antimanic Drugs,"Whether the participant has taken medications from the drug class antimanic. Typically a treatment for bipolar disorder or used as augmentation for major depressive disorder. Examples are Lithium (Priadel, Camcolit, Liskonum, Li-Liquid)","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_thyroid_hormone,taking_thyroid_hormone,Taking Synthetic Thyroid Hormone ,"Whether the participant has taken medications from the drug class synthetic thyroid hormones. Typically a treatment for hypothyroidism or low thyroid hormone and can be used  for  major depressive disorder. Examples are Liothyronine (Cytomel, T3,  triiodothyronine)","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_psychedelic,taking_psychedelic,Taking Any Psychedelics,Whether the participant use any psychedelics.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_benzodiazepine,taking_benzodiazepine,Taking Benzodiazepine,"Whehter the participant has taken medications in the Benzodiazepine class. This class of drugs has been shown harmful for PTSD patients. Examples are xana, alprozolam, klonopin, clonazepam, valium, diazepam, ativan, lorazepam, librium, chlordiazepoxide, restoril, temazepam, serax, oxazepam, halcion, triazolam, verded, midazolam. ","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
distant_metastases_postdiagnosis,distant_metastases_postdiagnosis,Had distant metastases post diagnoses,"Whether a participant had any distant metastases post the index cancer diagnosis, including but not limited to bone, brain, liver, adrenal glands, other lung and pleura.",[],int,binary,[],"[0, 1]",[],[],,disease history,,,,,1,
surgical_resection_time,surgical_resection_time,Time of surgical resction to remove the index cancer,When did a participant have the surgical resection to remove the index cancer? (Time since diagnoses),[],float64,continuous,[],[],[],[],,disease history,,,,,,
genetic_sequence_time,genetic_sequence_time,Time of genetic sequencing ,When did the genetic sequencing conducted? (Time since diagnoses),"[""longitudinal"", ""baseline""]",float64,continuous,[],[],[],[],,metadata,,,,,,
met_cna,met_cna,Copy Number Alteration of MET Gene,"If a participant has MET gene copy number alteration, what is the alteration (i.e., over-expression or under-expression)? MET amplification can be shown in 1-5% NSCLC patients. ","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
met_cna_flag,met_cna_flag,Indicator of Copy Number Alteration of MET Gene,Whether a participant has copy number alteration of MET gene.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
erbb2_cna,erbb2_cna,Copy Number Alteration of ERBB2 (HER2) Gene,"If a participant has ERBB2 (aka. HER2) gene copy number alteration, what is the alteration (i.e., over-expression or under-expression)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
erbb2_cna_flag,erbb2_cna_flag,Indicator of Copy Number Alteration of ERBB2 (HER2) Gene,Whether a participant has copy number alteration of ERBB2 (aka. HER2) gene.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
pdgfra_cna,pdgfra_cna,Copy Number Alteration of PDGFRA Gene,"If a participant has PDGFRA gene copy number alteration, what is the alteration (i.e., over-expression or under-expression)? PDGFRA amplification can be shown in 3-10% NSCLC patients.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
pdgfra_cna_flag,pdgfra_cna_flag,Indicator of Copy Number Alteration of PDGFRA Gene,Whether a participant has copy number alteration of PDGFRA gene.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
fgfr1_cna,fgfr1_cna,Copy Number Alteration of FGFR1 Gene,"If a participant has FGFR1 gene copy number alteration, what is the alteration (i.e., over-expression or under-expression)? PDGFRA amplification can be shown in 3-10% NSCLC patients. FGFR1 amplification can be shown in 16-20% NSCLC patients.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
fgfr1_cna_flag,fgfr1_cna_flag,Indicator of Copy Number Alteration of FGFR1 Gene,Whether a participant has copy number alteration of FGFR1 gene.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
alk_fusion_flag,alk_fusion_flag,Indicator of Any ALK Fusion,Whether a participant has any ALK gene fusion.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
alk_eml4_fusion,alk_eml4_fusion,ALK-EML4 Fusion,"Whether a participant has ALK-EML4 fusion. It is more common in adenocarcinoma NSCLC, younger, and no smoking history patients. Prevalence 3-7% in NSCLC.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
alk_kif5b_fusion,alk_kif5b_fusion,ALK-KIF5B Fusion,Whether a participant has ALK-KIF5B fusion. Rare (prevalence <2%) in NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ros1_fusion_flag,ros1_fusion_flag,Indicator of Any ROS1 Fusion,Whether a participant has any ROS1 gene fusion.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
cd74_ros1_fusion,cd74_ros1_fusion,CD74-ROS1 Fusion,"Whether a participant has CD74-ROS1 fusion. More common in adenocarcinoma NSCLC, younger and little to no smoking history patients. Rare (prevalence <2%) in NSCLC patients.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ezr_ros1_fusion,ezr_ros1_fusion,EZR-ROS1 Fusion,"Whether a participant has EZR-ROS1 fusion. More common in adenocarcinoma NSCLC, younger and little to no smoking history patients. Rare (prevalence <2%) in NSCLC patients.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ros1_sdc4_fusion,ros1_sdc4_fusion,ROS1-SDC4 Fusion,"Whether a participant has ROS1-SDC1 fusion. More common in adenocarcinoma NSCLC, younger and little to no smoking history patients. Rare (prevalence <2%) in NSCLC patients.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ros1_slc34a2_fusion,ros1_slc34a2_fusion,ROS1-SLC34A2 Fusion,"Whether a participant has ROS1-SLC34A2 fusion. More common in adenocarcinoma NSCLC, younger and little to no smoking history patients. Rare (prevalence <2%) in NSCLC patients.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ret_fusion_flag,ret_fusion_flag,Indicator of Any RET Fusion,Whether a participant has any RET gene fusion.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ccdc6_ret_fusion,ccdc6_ret_fusion,CCDC6-RET Fusion,Whether a participant has CCDC6-RET fusion. More common in adenocarcinoma NSCLC. Rare (prevalence <2%) in NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
kif5b_ret_fusion,kif5b_ret_fusion,KIF5B-RET Fusion,Whether a participant has KIF5B-RET fusion. More common in adenocarcinoma NSCLC. Rare (prevalence <2%) in NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ntrk1_fusion_flag,ntrk1_fusion_flag,Indicator of Any NTRK1 Fusion,Whether a participant has any NTRK1 gene fusion.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
ntrk1_tpm3_fusion,ntrk1_tpm3_fusion,NTRK1-TPM3 Fusion,Whether a participant has NTRK1-TPM3 fusion. Rare (prevalence <2%) in NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
tp53_mutation_flag,tp53_mutation_flag,Indicator of Any TP53 Gene Mutation,Whether a participant has any mutation on TP53 gene. TP53 mutation is prevalent in appxo. 5-10% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
tp53_mutation,tp53_mutation,TP53 Gene Mutation Type,"If a participant has TP53 gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
kras_mutation_flag,kras_mutation_flag,Indicator of Any KRAS Gene Mutation,Whether a participant has any mutation on KRAS gene. KRAS mutation is prevalent in appxo. 5-10% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
kras_mutation,kras_mutation,KRAS Gene Mutation Type,"If a participant has KRAS gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
egfr_mutation_flag,egfr_mutation_flag,Indicator of Any EGFR Gene Mutation,Whether a participant has any mutation on EGFR gene. EGFR mutation is prevalent in appxo. 50-60% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
egfr_mutation,egfr_mutation,EGFR Gene Mutation Type,"If a participant has EGFR gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
stk11_mutation_flag,stk11_mutation_flag,Indicator of Any STK11 Gene Mutation,Whether a participant has any mutation on STK11 gene. STK11 mutation is prevalent in appxo. 10-20% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
stk11_mutation,stk11_mutation,STK11 Gene Mutation Type,"If a participant has STK11 gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
keap1_mutation_flag,keap1_mutation_flag,Indicator of Any KEAP1 Gene Mutation,Whether a participant has any mutation on KEAP1 gene. KEAP1 mutation is prevalent in appxo. 10-20% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
keap1_mutation,keap1_mutation,KEAP1 Gene Mutation Type,"If a participant has KEAP1 gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
pik3ca_mutation_flag,pik3ca_mutation_flag,Indicator of Any PIK3CA Gene Mutation,Whether a participant has any mutation on PIK3CA gene. PIK3CA mutation is prevalent in appxo. 2-4% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
pik3ca_mutation,pik3ca_mutation,PIK3CA Gene Mutation Type,"If a participant has PIK3CA gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
braf_mutation_flag,braf_mutation_flag,Indicator of Any BRAF Gene Mutation,Whether a participant has any mutation on BRAF gene. BRAF mutation is prevalent in appxo. <2% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
braf_mutation,braf_mutation,BRAF Gene Mutation Type,"If a participant has BRAF gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
erbb2_mutation_flag,erbb2_mutation_flag,Indicator of Any ERBB2 (HER2) Gene Mutation,Whether a participant has any mutation on ERBB2 (HER2) gene.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
erbb2_mutation,erbb2_mutation,ERBB2 (HER2) Gene Mutation Type,"If a participant has ERBB2 (HER2) gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
akt1_mutation_flag,akt1_mutation_flag,Indicator of Any AKT1 Gene Mutation,Whether a participant has any mutation on AKT1 gene. AKT1 mutation is prevalent in appxo. 6% NSCLC patients.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,biomarkers,,,,,1,
akt1_mutation,akt1_mutation,AKT1 Gene Mutation Type,"If a participant has AKT1 gene mutation, what are the mutation types (e.g., SNP, DEL, INS...)?","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,biomarkers,,,,,1,
testosterone,testosterone,Serum Testosterone Levels ,Testosterone levels in the serum measured in ng/dL,[],float64,continuous,[],[],"[15.0, 1000.0]",[],ng/dL,labs,,outer,,,,1
taking_etoposide,taking_etoposide,taking etoposide,"Chemotherapy (Topoisomerase II inhibitor): etoposide, Etopophos, Vepesid","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_vinorelbine,taking_vinorelbine,taking vinorelbine,"Chemotherapy (Vinca alkaloid): vinorelbine, Vinorelbine, Vinorelbine Tartrate","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_navitoclax,taking_navitoclax,taking navitoclax,Targeted therapy (BCL-2 inhibitor): navitoclax,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_necitumumab,taking_necitumumab,taking necitumumab,"Targeted therapy (EGFR inhibitor): necitumumab, Portrazza","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_irinotecan,taking_irinotecan,taking irinotecan,"Chemotherapy (Topoisomerase I inhibitor): irinotecan, Camptosar, Onivyde","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_cobimetinib,taking_cobimetinib,taking cobimetinib,"Targeted therapy (MEK inhibitor (for BRAF V600E or V600K mutation)): cobimetinib, Cotellic","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_trastuzumab,taking_trastuzumab,taking trastuzumab,"Targeted therapy (EGFR 2 protein antibody (for HER2-positive)): trastuzumab, Herceptin, Herceptin Hylecta, Herzuma, Kanjinti, Ontruzant, Perjeta-Herceptin, Phesgo, Trazimera","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_trastuzumab_emtansine,taking_trastuzumab_emtansine,taking trastuzumab emtansine,"Targeted therapy (HER2 antibody drug conjugate (ADC)): trastuzumab_emtansine, Kadcyla","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_leucovorin,taking_leucovorin,taking leucovorin,"Folate analogs: leucovorin, EnBrace HR, EnLyte, Lederle Leucovorin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_oxaliplatin,taking_oxaliplatin,taking oxaliplatin,Chemotherapy (Platinum-based): oxaliplatin,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_fluorouracil,taking_fluorouracil,taking fluorouracil,"Chemotherapy (Pyrimidine analog): fluorouracil, Actikerall, Carac, Efudex, Fluoroplex, Tolak","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_neratinib,taking_neratinib,taking neratinib,"Targeted therapy (EGFR, HER2, and HER4 inhibitor - TKI): neratinib, Nerlynx","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_palbociclib,taking_palbociclib,taking palbociclib,"Targeted therapy (Cyclin-dependent kinase 4/6 (CDK4/6) inhibitor): palbociclib, Ibrance","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_rociletinib,taking_rociletinib,taking rociletinib,Targeted therapy (EGFR inhibitor - TKI): rociletinib,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_avelumab,taking_avelumab,taking avelumab,"Immunotherapy (Anti-PD-L1 monoclonal antibody): avelumab, Bavencio","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_vinblastine,taking_vinblastine,taking vinblastine,Chemotherapy (Vinca alkaloid): vinblastine,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_mitomycin,taking_mitomycin,taking mitomycin,"Chemotherapy (Antimetabolite): mitomycin, Jelmyto, Mitosol, Mutamycin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_sunitinib,taking_sunitinib,taking sunitinib,"Targeted therapy (TKI): sunitinib, Sutent","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_cetuximab,taking_cetuximab,taking cetuximab,"Targeted therapy (EGFR inhibitor): cetuximab, Erbitux","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_megestrol_acetate,taking_megestrol_acetate,taking megestrol acetate,"Progestin: megestrol_acetate, Megace","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_temozolomide,taking_temozolomide,taking temozolomide,"Chemotherapy (Alkylating agent): temozolomide, Temodar, Temomedac","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_lurbinectedin,taking_lurbinectedin,taking lurbinectedin,"Chemotherapy (Alkylating agent): lurbinectedin, Zepzelca","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_capecitabine,taking_capecitabine,taking capecitabine,"Chemotherapy (Nucleoside metabolic inhibitor): capecitabine, Ecansya, Xeloda","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_icotinib,taking_icotinib,taking icotinib,Targeted therapy (EGFR TKI): Icotinib,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
taking_rituximab,taking_rituximab,taking rituximab,"Targeted therapy (Anti-CD20 antibody): rituximab, MabThera, Riabni, Rituxan, Rituxan Hycela, Ruxience, Truxima","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_methotrexate,taking_methotrexate,taking methotrexate,"Immunotherapy (Antimetabolite): methotrexate, Metoject, Nordimet, Otrexup, Rasuvo, Reditrex, Trexall, Xatmep","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_everolimus,taking_everolimus,taking everolimus,"Targeted therapy (Mammalian target of rapamycin (mTOR) kinase inhibitor): everolimus, Afinitor, Torpenz, Votubia, Zortress","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ensartinib,taking_ensartinib,taking ensartinib,Targeted therapy (TKI (for ALK positive)): ensartinib,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,1,
imaging_site_brain,imaging_site_brain,Imaging Body Site of the Brain Scan of the Day,Whether a participant had a brain scan for the day.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,clinical assessments,,,,,1,
imaging_type_brain,imaging_type_brain,Imaging Scan Type of the Brain Scan of the Day,"Imaging Scan Type, including MRI, CT, PET or others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,1
imaging_result_brain,imaging_result_brain,Imaging Scan Results of the Brain Scan of the Day,"Imaging Scan Results to indicate whether the cancer is not detected, stable, progress, or improving.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,
imaging_site_chest,imaging_site_chest,Imaging Body Site of the Chest Scan of the Day,"Whether a participant had a chest, abdomen, or pelvis scan for the day.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,clinical assessments,,,,,1,
imaging_type_chest,imaging_type_chest,Imaging Scan Type of the Chest Scan of the Day,"Imaging Scan Type, including MRI, CT, PET or others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,1
imaging_result_chest,imaging_result_chest,Imaging Scan Results of the Chest Scan of the Day,"Imaging Scan Results to indicate whether the cancer is not detected, stable, progress, or improving.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,
imaging_site_spine,imaging_site_spine,Imaging Body Site of the Spine Scan of the Day,Whether a participant had a spine scan for the day.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,clinical assessments,,,,,1,
imaging_type_spine,imaging_type_spine,Imaging Scan Type of the Spine Scan of the Day,"Imaging Scan Type, including MRI, CT, PET or others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,1
imaging_result_spine,imaging_result_spine,Imaging Scan Results of the Spine Scan of the Day,"Imaging Scan Results to indicate whether the cancer is not detected, stable, progress, or improving.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,
imaging_site_full_body,imaging_site_full_body,Imaging Body Site of the Full Body Scan of the Day,Whether a participant had a full body scan for the day.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,clinical assessments,,,,,1,
imaging_type_full_body,imaging_type_full_body,Imaging Scan Type of the Full Body Scan of the Day,"Imaging Scan Type, including MRI, CT, PET or others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,1
imaging_result_full_body,imaging_result_full_body,Imaging Scan Results of the Full Body Scan of the Day,"Imaging Scan Results to indicate whether the cancer is not detected, stable, progress, or improving.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,
imaging_site_extremity,imaging_site_extremity,Imaging Body Site of the Extremity Scan of the Day,Whether a participant had a extermity scan for the day.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,clinical assessments,,,,,1,
imaging_type_extremity,imaging_type_extremity,Imaging Scan Type of the Extremity Scan of the Day,"Imaging Scan Type, including MRI, CT, PET or others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,1
imaging_result_extremity,imaging_result_extremity,Imaging Scan Results of the Extremity Scan of the Day,"Imaging Scan Results to indicate whether the cancer is not detected, stable, progress, or improving.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,clinical assessments,,,,,1,
sum_long_diam_targ_lesion,sum_long_diam_targ_lesion,Sum of Long Diamters of Targeted Lesions,Sum of the longest diameters of targeted lesions (in cm).,"[""longitudinal"", ""baseline""]",float64,continuous,"[0, 500]",[],[],[],,clinical assessments,,,,,1,
target_response,target_response,Response of Targeted Lesions,"Target Response Evaluation (based on RECIST): CR=complete response, PR=partial response, SD=stable disease, PD=progressive disease.","[""longitudinal""]",str,categorical,[],"[""cr"", ""pr"", ""sd"", ""pd""]",[],[],,clinical assessments,,,,,1,
non_target_response,non_target_response,Response of Non-targeted Lesions,"Non-target Response Evaluation (based on RECIST): CR=complete response, PR/SD=imcomplete response/stable disease, PD=progressive disease, N/A=not applicable.","[""longitudinal""]",str,categorical,[],"[""cr"", ""pr/sd"", ""pd"", ""n/a""]",[],[],,clinical assessments,,,,,1,
overall_response,overall_response,Overall Response,"Overall Response Evaluation (based on RECIST): CR=complete response, PR=partial response, SD=stable disease, PD=progressive disease.","[""longitudinal""]",str,categorical,[],"[""cr"", ""pr"", ""sd"", ""pd""]",[],[],,clinical assessments,,,,,1,
site_primary_diagnosis,site_primary_diagnosis,Site of Primary Diagnosis,"The anatomical location of the cancer at the time of the initial diagnosis. For example, in colorectal cancer, the primary site may be the colon or the rectum.","[""static"", ""baseline""]",str,categorical,[],[],[],[],,disease history,,,,,,
day_since_surgery,,,,,,,,,,,,,,,,,,
